Time_in_ms	MagX	MagY	MagZ	Bearing
45034	-92.63	-200.84	183.72	245.24
45365	-89.59	-204.00	165.58	246.29
45642	-86.56	-207.16	183.72	247.32
45922	-74.41	-207.16	170.12	250.24
46197	-85.04	-211.91	163.31	248.13
46472	-82.00	-202.42	190.53	247.95
46749	-74.41	-207.16	165.58	250.24
47031	-75.93	-221.40	185.99	251.07
47304	-71.37	-207.16	179.19	250.99
47581	-77.44	-197.67	179.19	248.61
47855	-72.89	-202.42	176.92	250.20
48129	-82.00	-208.74	181.46	248.55
48402	-97.19	-199.26	181.46	244.00
48676	-94.15	-205.58	149.70	245.39
48951	-82.00	-202.42	172.38	247.95
49224	-86.56	-204.00	188.26	247.01
49495	-85.04	-199.26	181.46	246.89
49769	-78.96	-199.26	181.46	248.38
50037	-92.63	-194.51	179.19	244.54
50311	-82.00	-199.26	176.92	247.63
50579	-89.59	-197.67	174.65	245.62
50853	-92.63	-204.00	174.65	245.58
51129	-86.56	-210.33	179.19	247.63
51402	-97.19	-189.77	181.46	242.88
51677	-95.67	-191.35	183.72	243.44
51949	-95.67	-204.00	188.26	244.88
52222	-92.63	-204.00	188.26	245.58
52497	-95.67	-200.84	170.12	244.53
52771	-89.59	-204.00	183.72	246.29
53047	-83.52	-204.00	179.19	247.74
53321	-83.52	-197.67	179.19	247.10
53595	-85.04	-192.93	190.53	246.21
53867	-82.00	-199.26	172.38	247.63
54141	-86.56	-210.33	174.65	247.63
54415	-78.96	-208.74	167.85	249.28
54688	-89.59	-200.84	179.19	245.96
54965	-82.00	-218.23	167.85	249.41
55239	-85.04	-208.74	176.92	247.84
55512	-75.93	-199.26	176.92	249.14
55784	-77.44	-213.49	179.19	250.06
56057	-89.59	-210.33	188.26	246.93
56331	-80.48	-204.00	179.19	248.47
56606	-78.96	-192.93	167.85	247.74
56880	-74.41	-213.49	188.26	250.78
57153	-75.93	-189.77	190.53	248.19
57421	-60.74	-199.26	181.46	253.05
57695	-78.96	-196.09	185.99	248.07
57963	-77.44	-207.16	170.12	249.50
58236	-77.44	-191.35	174.65	247.97
58512	-72.89	-205.58	172.38	250.48
58785	-82.00	-202.42	176.92	247.95
59059	-74.41	-197.67	183.72	249.37
59332	-68.33	-213.49	174.65	252.25
59606	-74.41	-204.00	197.33	249.96
59879	-80.48	-200.84	179.19	248.16
60152	-83.52	-210.33	188.26	248.34
60428	-78.96	-192.93	204.14	247.74
60701	-89.59	-204.00	174.65	246.29
60976	-82.00	-186.60	181.46	246.28
61248	-69.85	-199.26	163.31	250.68
61520	-82.00	-192.93	167.85	246.97
61795	-82.00	-183.44	163.31	245.91
62065	-78.96	-208.74	195.07	249.28
62339	-54.67	-189.77	176.92	253.93
62607	-80.48	-162.88	147.43	243.71
62881	-92.63	-172.37	138.36	241.75
63150	-112.37	-154.98	145.17	234.06
63424	-133.63	-158.14	158.77	229.80
63696	-119.96	-153.40	156.51	231.97
63974	-132.11	-147.07	161.04	228.07
64247	-116.93	-159.72	138.36	233.79
64521	-63.78	-189.77	185.99	251.42
64794	-91.11	-208.74	176.92	246.42
65068	-88.07	-205.58	163.31	246.81
65336	-95.67	-207.16	179.19	245.21
65609	-91.11	-189.77	185.99	244.35
65885	-101.74	-200.84	170.12	243.13
66158	-78.96	-208.74	185.99	249.28
66432	-77.44	-207.16	179.19	249.50
66700	-89.59	-191.35	179.19	244.91
66973	-85.04	-202.42	181.46	247.21
67248	-82.00	-196.09	181.46	247.31
67524	-83.52	-197.67	192.80	247.10
67798	-97.19	-192.93	176.92	243.26
68071	-85.04	-199.26	167.85	246.89
68344	-86.56	-191.35	170.12	245.66
68619	-89.59	-191.35	201.87	244.91
68892	-85.04	-202.42	181.46	247.21
69165	-97.19	-221.40	199.60	246.30
69441	-80.48	-194.51	183.72	247.52
69709	-94.15	-218.23	195.07	246.66
69983	-92.63	-200.84	197.33	245.24
70256	-82.00	-208.74	181.46	248.55
70530	-89.59	-204.00	188.26	246.29
70803	-86.56	-207.16	174.65	247.32
71076	-82.00	-211.91	176.92	248.85
71353	-85.04	-202.42	181.46	247.21
71627	-78.96	-218.23	176.92	250.11
71896	-89.59	-216.65	179.19	247.53
72169	-89.59	-219.81	170.12	247.82
72437	-88.07	-218.23	181.46	248.02
72715	-82.00	-218.23	185.99	249.41
72991	-86.56	-204.00	179.19	247.01
73265	-78.96	-215.07	181.46	249.84
73537	-82.00	-215.07	176.92	249.13
73808	-71.37	-219.81	183.72	252.01
74081	-88.07	-227.72	172.38	248.86
74354	-78.96	-218.23	172.38	250.11
74628	-85.04	-211.91	172.38	248.13
74902	-85.04	-215.07	167.85	248.43
75173	-97.19	-211.91	167.85	245.36
75447	-80.48	-219.81	192.80	249.89
75720	-75.93	-211.91	190.53	250.29
75994	-77.44	-219.81	188.26	250.59
76266	-66.82	-205.58	176.92	252.00
76538	-74.41	-216.65	179.19	251.05
76808	-80.48	-219.81	179.19	249.89
77082	-69.85	-211.91	176.92	251.76
77356	-88.07	-205.58	190.53	246.81
77629	-95.67	-216.65	179.19	246.18
77901	-83.52	-207.16	188.26	248.04
78175	-78.96	-215.07	190.53	249.84
78451	-77.44	-219.81	179.19	250.59
78724	-97.19	-205.58	172.38	244.70
78996	-82.00	-208.74	199.60	248.55
79268	-71.37	-222.98	179.19	252.25
79542	-74.41	-219.81	179.19	251.30
79816	-82.00	-215.07	199.60	249.13
80089	-82.00	-215.07	172.38	249.13
80365	-72.89	-218.23	185.99	251.53
80633	-77.44	-216.65	192.80	250.33
80908	-75.93	-218.23	167.85	250.82
81180	-77.44	-232.47	201.87	251.57
81454	-80.48	-222.98	183.72	250.15
81728	-82.00	-218.23	199.60	249.41
82003	-83.52	-210.33	192.80	248.34
82277	-91.11	-211.91	176.92	246.73
82551	-82.00	-208.74	190.53	248.55
82820	-82.00	-215.07	190.53	249.13
83093	-66.82	-221.40	190.53	253.21
83361	-74.41	-219.81	206.41	251.30
83636	-80.48	-222.98	170.12	250.15
83910	-71.37	-213.49	179.19	251.51
84185	-83.52	-210.33	179.19	248.34
84458	-80.48	-219.81	183.72	249.89
84731	-72.89	-218.23	185.99	251.53
85004	-68.33	-229.30	165.58	253.41
85277	-82.00	-208.74	176.92	248.55
85552	-75.93	-211.91	190.53	250.29
85828	-86.56	-213.49	170.12	247.93
86103	-85.04	-218.23	167.85	248.71
86370	-75.93	-208.74	181.46	250.01
86644	-89.59	-222.98	188.26	248.11
86913	-89.59	-216.65	206.41	247.53
87187	-74.41	-222.98	201.87	251.55
87463	-86.56	-219.81	206.41	248.51
87738	-78.96	-218.23	181.46	250.11
88011	-72.89	-224.56	190.53	252.02
88286	-78.96	-211.91	204.14	249.56
88560	-83.52	-229.30	197.33	249.99
88835	-85.04	-224.56	176.92	249.26
89109	-72.89	-218.23	167.85	251.53
89380	-72.89	-224.56	167.85	252.02
89655	-83.52	-216.65	174.65	248.92
89928	-66.82	-218.23	195.07	252.98
90202	-80.48	-216.65	183.72	249.62
90476	-71.37	-222.98	192.80	252.25
90744	-74.41	-216.65	183.72	251.05
91019	-82.00	-208.74	172.38	248.55
91295	-65.30	-219.81	188.26	253.46
91570	-74.41	-213.49	188.26	250.78
91838	-80.48	-213.49	170.12	249.34
92112	-82.00	-208.74	195.07	248.55
92386	-88.07	-218.23	185.99	248.02
92660	-72.89	-215.07	185.99	251.28
92931	-91.11	-208.74	190.53	246.42
93205	-89.59	-219.81	188.26	247.82
93473	-72.89	-211.91	185.99	251.02
93747	-72.89	-221.40	176.92	251.78
94020	-65.30	-210.33	161.04	252.75
94294	-74.41	-213.49	179.19	250.78
94568	-72.89	-202.42	195.07	250.20
94843	-68.33	-207.16	179.19	251.74
95116	-75.93	-205.58	181.46	249.73
95390	-88.07	-211.91	163.31	247.43
95665	-74.41	-210.33	174.65	250.52
95938	-75.93	-202.42	167.85	249.44
96211	-74.41	-194.51	170.12	249.07
96487	-78.96	-205.58	158.77	248.99
96763	-75.93	-196.09	158.77	248.83
97038	-77.44	-204.00	151.97	249.21
97311	-82.00	-189.77	158.77	246.63
97584	-78.96	-202.42	127.02	248.69
97858	-59.22	-172.37	129.29	251.04
98131	-36.45	-145.49	99.80	255.94
98408	-42.52	-158.14	113.41	254.95
98682	-31.89	-143.91	120.22	257.50
98966	-30.37	-148.65	95.27	258.45
99238	-31.89	-147.07	102.07	257.77
99512	-47.08	-150.23	93.00	252.60
99785	-28.85	-143.91	88.46	258.66
100059	-18.22	-148.65	108.87	263.01
100334	-22.78	-156.56	93.00	261.72
100609	-31.89	-159.72	106.61	258.71
100882	-27.34	-151.81	90.73	259.79
101154	-22.78	-150.23	106.61	261.38
101428	-51.63	-151.81	117.95	251.22
101702	-39.48	-154.98	104.34	255.71
101977	-30.37	-158.14	122.48	259.13
102252	-25.82	-150.23	115.68	260.25
102526	-33.41	-151.81	113.41	257.59
102799	-44.04	-150.23	106.61	253.66
103071	-22.78	-140.74	88.46	260.81
103345	-33.41	-151.81	95.27	257.59
103619	-27.34	-148.65	117.95	259.58
103894	-28.85	-166.05	97.53	260.14
104167	-27.34	-161.30	104.34	260.38
104441	-30.37	-145.49	108.87	258.21
104715	-27.34	-161.30	104.34	260.38
104988	-24.30	-161.30	90.73	261.43
105262	-30.37	-148.65	122.48	258.45
105536	-28.85	-153.40	106.61	259.35
105810	-33.41	-142.33	108.87	256.79
106085	-34.93	-166.05	133.82	258.12
106358	-37.96	-159.72	111.14	256.63
106627	-28.85	-159.72	97.53	259.76
106900	-37.96	-159.72	102.07	256.63
107168	-19.74	-159.72	102.07	262.95
107439	-37.96	-153.40	93.00	256.10
107712	-39.48	-158.14	90.73	255.98
107986	-36.45	-151.81	104.34	256.50
108259	-34.93	-153.40	120.22	257.17
108532	-36.45	-158.14	104.34	257.02
108807	-39.48	-158.14	77.12	255.98
109080	-25.82	-166.05	115.68	261.16
109357	-30.37	-154.98	90.73	258.91
109630	-10.63	-153.40	88.46	266.04
109903	-21.26	-154.98	99.80	262.19
110178	-10.63	-159.72	102.07	266.19
110451	-25.82	-147.07	111.14	260.04
110726	-13.67	-143.91	97.53	264.57
110998	-9.11	-142.33	104.34	266.34
111273	-18.22	-142.33	99.80	262.70
111548	-34.93	-147.07	93.00	256.64
111820	-21.26	-136.00	122.48	261.11
112093	-19.74	-147.07	106.61	262.35
112367	-18.22	-148.65	108.87	263.01
112641	-25.82	-150.23	102.07	260.25
112916	-31.89	-153.40	106.61	258.26
113190	-22.78	-150.23	111.14	261.38
113464	-21.26	-154.98	108.87	262.19
113736	-30.37	-148.65	95.27	258.45
114009	-27.34	-145.49	95.27	259.36
114283	-39.48	-164.47	108.87	256.50
114556	-33.41	-136.00	113.41	256.20
114832	-31.89	-156.56	106.61	258.49
115105	-31.89	-153.40	120.22	258.26
115380	-34.93	-153.40	93.00	257.17
115653	-39.48	-151.81	127.02	255.42
115927	-31.89	-150.23	97.53	258.02
116200	-41.00	-169.21	97.53	256.38
116470	-34.93	-159.72	115.68	257.66
116745	-31.89	-153.40	115.68	258.26
117018	-37.96	-159.72	102.07	256.63
117292	-30.37	-151.81	113.41	258.69
117565	-36.45	-148.65	95.27	256.22
117839	-36.45	-148.65	95.27	256.22
118113	-44.04	-140.74	79.39	252.63
118390	-41.00	-140.74	93.00	253.76
118664	-39.48	-148.65	95.27	255.13
118936	-37.96	-156.56	93.00	256.37
119208	-36.45	-148.65	99.80	256.22
119483	-41.00	-140.74	93.00	253.76
119756	-48.59	-142.33	117.95	251.15
120030	-37.96	-134.42	102.07	254.23
120312	-19.74	-131.26	88.46	261.45
120588	-16.71	-153.40	97.53	263.78
120863	-34.93	-153.40	93.00	257.17
121139	-37.96	-150.23	97.53	255.82
121409	-25.82	-150.23	129.29	260.25
121684	-30.37	-158.14	99.80	259.13
