Time_in_ms	MagX	MagY	MagZ	Bearing
1505666	-110.85	-118.61	156.51	226.94
1505942	-109.33	-132.84	149.70	230.54
1506217	-104.78	-121.77	133.82	229.29
1506494	-86.56	-128.09	133.82	235.95
1506771	-104.78	-124.93	133.82	230.01
1507053	-106.30	-132.84	140.63	231.33
1507329	-91.11	-139.16	131.56	236.79
1507604	-107.81	-134.42	147.43	231.27
1507879	-94.15	-136.00	127.02	235.31
1508155	-107.81	-124.93	138.36	229.21
1508429	-100.22	-132.84	136.09	232.97
1508708	-106.30	-132.84	140.63	231.33
1508982	-113.89	-140.74	133.82	231.02
1509258	-112.37	-142.33	122.48	231.71
1509534	-107.81	-137.58	133.82	231.92
1509809	-119.96	-134.42	129.29	228.25
1510085	-104.78	-134.42	133.82	232.06
1510364	-112.37	-129.67	131.56	229.09
1510639	-106.30	-129.67	145.17	230.66
1510914	-116.93	-128.09	124.75	227.61
1511190	-104.78	-137.58	151.97	232.71
1511464	-103.26	-145.49	140.63	234.64
1511740	-101.74	-137.58	120.22	233.52
1512016	-115.41	-132.84	140.63	229.02
1512293	-100.22	-129.67	140.63	232.30
1512568	-115.41	-123.35	140.63	226.91
1512844	-100.22	-126.51	127.02	231.61
1513119	-94.15	-129.67	140.63	234.02
1513394	-106.30	-129.67	140.63	230.66
1513669	-103.26	-139.16	131.56	233.42
1513947	-110.85	-134.42	138.36	230.49
1514223	-97.19	-145.49	145.17	236.26
1514499	-107.81	-131.26	120.22	230.60
1514773	-97.19	-139.16	163.31	235.07
1515048	-106.30	-132.84	145.17	231.33
1515324	-98.70	-131.26	165.58	233.06
1515602	-101.74	-128.09	124.75	231.54
1515877	-109.33	-129.67	145.17	229.86
1516152	-106.30	-132.84	154.24	231.33
1516429	-97.19	-123.35	136.09	231.77
1516704	-106.30	-123.35	163.31	229.25
1516980	-113.89	-131.26	129.29	229.05
1517254	-110.85	-140.74	133.82	231.78
1517533	-103.26	-136.00	140.63	232.79
1517808	-107.81	-137.58	147.43	231.92
1518084	-109.33	-129.67	145.17	229.86
1518358	-101.74	-137.58	138.36	233.52
1518635	-107.81	-128.09	133.82	229.91
1518910	-107.81	-143.91	138.36	233.16
1519188	-98.70	-134.42	129.29	233.71
1519459	-115.41	-132.84	136.09	229.02
1519734	-110.85	-128.09	138.36	229.13
1520009	-100.22	-136.00	140.63	233.61
1520285	-107.81	-131.26	138.36	230.60
1520560	-100.22	-136.00	149.70	233.61
1520835	-101.74	-134.42	142.90	232.88
1521110	-103.26	-129.67	136.09	231.47
1521384	-107.81	-124.93	129.29	229.21
1521660	-113.89	-128.09	138.36	228.36
1521936	-106.30	-136.00	140.63	231.99
1522210	-100.22	-139.16	117.95	234.24
1522487	-106.30	-136.00	145.17	231.99
1522765	-106.30	-136.00	140.63	231.99
1523041	-115.41	-123.35	136.09	226.91
1523315	-107.81	-131.26	133.82	230.60
1523592	-98.70	-131.26	115.68	233.06
1523866	-106.30	-129.67	131.56	230.66
1524142	-106.30	-126.51	131.56	229.96
1524427	-110.85	-140.74	156.51	231.78
1524702	-104.78	-131.26	142.90	231.40
1524978	-107.81	-134.42	147.43	231.27
1525254	-109.33	-132.84	140.63	230.54
1525529	-106.30	-129.67	158.77	230.66
1525806	-107.81	-140.74	138.36	232.55
1526081	-104.78	-143.91	151.97	233.94
1526359	-94.15	-142.33	131.56	236.52
1526635	-94.15	-139.16	131.56	235.92
1526910	-116.93	-128.09	124.75	227.61
1527187	-98.70	-131.26	129.29	233.06
1527462	-115.41	-139.16	131.56	230.33
1527738	-98.70	-128.09	151.97	232.38
1528016	-107.81	-124.93	138.36	229.21
1528292	-113.89	-131.26	147.43	229.05
1528568	-104.78	-140.74	142.90	233.33
1528845	-110.85	-143.91	138.36	232.39
1529121	-97.19	-132.84	136.09	233.81
1529396	-100.22	-136.00	145.17	233.61
1529671	-107.81	-118.61	147.43	227.73
1529951	-97.19	-129.67	145.17	233.15
1530226	-107.81	-124.93	129.29	229.21
1530502	-98.70	-134.42	129.29	233.71
1530777	-115.41	-126.51	149.70	227.63
1531052	-101.74	-128.09	138.36	231.54
1531328	-118.44	-129.67	131.56	227.59
1531606	-104.78	-137.58	147.43	232.71
1531882	-94.15	-142.33	117.95	236.52
1532157	-115.41	-123.35	145.17	226.91
1532434	-109.33	-142.33	127.02	232.47
1532709	-112.37	-139.16	136.09	231.08
1532986	-94.15	-139.16	131.56	235.92
1533274	-106.30	-123.35	131.56	229.25
1533549	-103.26	-139.16	136.09	233.42
1533825	-94.15	-129.67	136.09	234.02
1534099	-118.44	-136.00	145.17	228.95
1534374	-110.85	-137.58	129.29	231.14
1534649	-106.30	-136.00	154.24	231.99
1534924	-103.26	-136.00	140.63	232.79
1535202	-97.19	-142.33	127.02	235.67
1535476	-110.85	-134.42	129.29	230.49
1535753	-119.96	-131.26	156.51	227.57
1536027	-107.81	-137.58	138.36	231.92
1536303	-107.81	-134.42	120.22	231.27
1536579	-115.41	-139.16	127.02	230.33
1536857	-94.15	-145.49	145.17	237.09
1537133	-103.26	-132.84	145.17	232.14
1537409	-95.67	-128.09	133.82	233.25
1537684	-115.41	-123.35	154.24	226.91
1537959	-104.78	-134.42	156.51	232.06
1538235	-112.37	-126.51	149.70	228.39
1538510	-89.59	-124.93	133.82	234.35
1538788	-100.22	-132.84	145.17	232.97
1539062	-97.19	-136.00	136.09	234.45
1539339	-110.85	-121.77	138.36	227.69
1539614	-112.37	-142.33	136.09	231.71
1539889	-107.81	-128.09	129.29	229.91
1540164	-107.81	-137.58	142.90	231.92
1540442	-116.93	-121.77	138.36	226.16
1540718	-106.30	-117.02	127.02	227.75
1540993	-98.70	-128.09	133.82	232.38
1541269	-94.15	-123.35	131.56	232.65
1541544	-88.07	-132.84	140.63	236.45
1541821	-94.15	-139.16	136.09	235.92
1542096	-104.78	-150.23	129.29	235.11
1542375	-95.67	-121.77	124.75	231.85
1542651	-95.67	-128.09	133.82	233.25
1542927	-98.70	-137.58	133.82	234.34
1543203	-92.63	-137.58	151.97	236.05
1543478	-107.81	-131.26	147.43	230.60
1543753	-109.33	-126.51	127.02	229.17
1544032	-104.78	-124.93	133.82	230.01
1544307	-97.19	-117.02	136.09	230.29
1544582	-112.37	-126.51	149.70	228.39
1544858	-100.22	-129.67	136.09	232.30
1545133	-116.93	-131.26	151.97	228.30
1545409	-119.96	-131.26	142.90	227.57
1545686	-107.81	-128.09	124.75	229.91
1545962	-110.85	-115.44	138.36	226.16
1546237	-104.78	-134.42	147.43	232.06
1546514	-115.41	-132.84	145.17	229.02
1546789	-107.81	-140.74	133.82	232.55
1547065	-100.22	-117.02	131.56	229.42
1547340	-104.78	-128.09	147.43	230.72
1547618	-103.26	-132.84	136.09	232.14
1547893	-112.37	-126.51	131.56	228.39
1548169	-98.70	-128.09	142.90	232.38
1548444	-100.22	-126.51	145.17	231.61
1548720	-104.78	-140.74	165.58	233.33
1548995	-101.74	-128.09	147.43	231.54
1549274	-106.30	-132.84	127.02	231.33
1549548	-113.89	-128.09	129.29	228.36
1549824	-95.67	-131.26	156.51	233.91
1550099	-107.81	-128.09	138.36	229.91
1550374	-88.07	-139.16	136.09	237.67
1550650	-107.81	-121.77	138.36	228.48
1550926	-116.93	-121.77	156.51	226.16
1551204	-109.33	-136.00	127.02	231.20
1551480	-107.81	-131.26	147.43	230.60
1551756	-100.22	-129.67	131.56	232.30
1552032	-95.67	-137.58	147.43	235.19
1552308	-100.22	-139.16	145.17	234.24
1552583	-101.74	-131.26	133.82	232.22
1552862	-107.81	-140.74	111.14	232.55
1553138	-116.93	-131.26	156.51	228.30
1553414	-107.81	-121.77	133.82	228.48
1553689	-110.85	-128.09	133.82	229.13
1553965	-113.89	-128.09	142.90	228.36
1554240	-103.26	-126.51	136.09	230.78
1554519	-112.37	-136.00	140.63	230.43
1554793	-101.74	-128.09	129.29	231.54
1555069	-95.67	-140.74	142.90	235.80
1555345	-101.74	-124.93	124.75	230.84
1555621	-110.85	-121.77	133.82	227.69
1555897	-110.85	-137.58	142.90	231.14
1556173	-95.67	-124.93	147.43	232.56
1556451	-103.26	-142.33	149.70	234.04
1556726	-104.78	-131.26	142.90	231.40
1557003	-103.26	-142.33	158.77	234.04
1557277	-109.33	-129.67	154.24	229.86
1557554	-101.74	-128.09	156.51	231.54
1557828	-98.70	-121.77	156.51	230.97
1558107	-103.26	-126.51	136.09	230.78
1558382	-113.89	-124.93	151.97	227.65
1558658	-107.81	-137.58	151.97	231.92
1558933	-97.19	-120.19	145.17	231.04
1559209	-112.37	-129.67	127.02	229.09
1559485	-109.33	-120.19	127.02	227.71
1559760	-121.48	-132.84	140.63	227.56
1560039	-103.26	-123.35	158.77	230.07
1560315	-106.30	-129.67	145.17	230.66
1560591	-104.78	-128.09	142.90	230.72
1560866	-106.30	-132.84	145.17	231.33
1561142	-110.85	-118.61	151.97	226.94
1561417	-107.81	-131.26	142.90	230.60
1561696	-97.19	-129.67	158.77	233.15
1561970	-107.81	-131.26	129.29	230.60
1562247	-101.74	-137.58	142.90	233.52
1562522	-88.07	-136.00	136.09	237.07
1562798	-100.22	-129.67	149.70	232.30
1563074	-107.81	-137.58	115.68	231.92
1563350	-98.70	-131.26	147.43	233.06
1563627	-106.30	-129.67	149.70	230.66
1563904	-106.30	-129.67	140.63	230.66
1564179	-92.63	-134.42	138.36	235.43
1564455	-103.26	-142.33	145.17	234.04
1564732	-89.59	-124.93	156.51	234.35
1565006	-106.30	-129.67	149.70	230.66
1565285	-103.26	-132.84	149.70	232.14
1565561	-106.30	-139.16	127.02	232.63
1565839	-106.30	-129.67	140.63	230.66
1566115	-113.89	-131.26	156.51	229.05
1566391	-109.33	-136.00	122.48	231.20
1566667	-103.26	-132.84	140.63	232.14
1566945	-107.81	-128.09	142.90	229.91
1567221	-110.85	-128.09	138.36	229.13
1567496	-112.37	-129.67	145.17	229.09
1567771	-97.19	-129.67	145.17	233.15
1568052	-112.37	-126.51	145.17	228.39
1568327	-100.22	-123.35	136.09	230.91
1568602	-112.37	-120.19	136.09	226.93
1568880	-101.74	-124.93	138.36	230.84
1569155	-121.48	-126.51	140.63	226.16
1569429	-103.26	-136.00	136.09	232.79
1569704	-101.74	-118.61	156.51	229.38
1569979	-101.74	-134.42	138.36	232.88
1570255	-103.26	-132.84	140.63	232.14
1570532	-104.78	-131.26	138.36	231.40
1570808	-112.37	-117.02	145.17	226.16
1571084	-113.89	-115.44	138.36	225.39
1571358	-107.81	-128.09	142.90	229.91
1571635	-112.37	-129.67	140.63	229.09
1571909	-107.81	-134.42	124.75	231.27
1572185	-101.74	-128.09	138.36	231.54
1572462	-106.30	-136.00	149.70	231.99
1572738	-94.15	-132.84	136.09	234.67
1573013	-110.85	-109.12	120.22	224.55
1573287	-106.30	-126.51	145.17	229.96
1573564	-109.33	-117.02	140.63	226.95
1573838	-113.89	-137.58	147.43	230.38
1574117	-106.30	-123.35	145.17	229.25
1574391	-113.89	-124.93	142.90	227.65
1574667	-103.26	-142.33	117.95	234.04
1574942	-110.85	-121.77	124.75	227.69
1575218	-97.19	-132.84	131.56	233.81
1575493	-109.33	-132.84	149.70	230.54
1575770	-109.33	-132.84	149.70	230.54
1576046	-110.85	-131.26	156.51	229.82
1576321	-118.44	-129.67	149.70	227.59
1576595	-104.78	-124.93	129.29	230.01
1576871	-104.78	-124.93	138.36	230.01
1577146	-115.41	-126.51	145.17	227.63
1577421	-106.30	-126.51	145.17	229.96
1577699	-109.33	-126.51	158.77	229.17
1577974	-110.85	-124.93	138.36	228.42
1578251	-110.85	-128.09	129.29	229.13
1578526	-94.15	-132.84	136.09	234.67
1578803	-107.81	-124.93	156.51	229.21
1579077	-109.33	-139.16	154.24	231.85
1579356	-106.30	-129.67	154.24	230.66
1579630	-112.37	-132.84	149.70	229.77
1579907	-103.26	-136.00	127.02	232.79
1580181	-104.78	-128.09	142.90	230.72
1580456	-101.74	-134.42	138.36	232.88
1580733	-101.74	-121.77	142.90	230.12
1581008	-106.30	-132.84	140.63	231.33
1581286	-100.22	-129.67	131.56	232.30
1581562	-94.15	-132.84	149.70	234.67
1581838	-100.22	-132.84	149.70	232.97
1582112	-124.52	-123.35	136.09	224.73
1582389	-115.41	-132.84	131.56	229.02
1582663	-109.33	-113.86	117.95	226.16
1582942	-95.67	-128.09	156.51	233.25
1583216	-109.33	-142.33	140.63	232.47
1583493	-94.15	-117.02	154.24	231.18
1583767	-100.22	-142.33	149.70	234.85
1584043	-110.85	-128.09	142.90	229.13
1584318	-107.81	-134.42	142.90	231.27
1584595	-112.37	-123.35	158.77	227.67
1584871	-115.41	-142.33	154.24	230.96
1585146	-104.78	-121.77	156.51	229.29
1585423	-103.26	-136.00	140.63	232.79
1585698	-101.74	-128.09	156.51	231.54
1585975	-100.22	-139.16	127.02	234.24
1586250	-107.81	-128.09	142.90	229.91
1586529	-103.26	-129.67	145.17	231.47
1586804	-110.85	-121.77	147.43	227.69
1587081	-109.33	-132.84	140.63	230.54
1587356	-100.22	-132.84	140.63	232.97
1587633	-109.33	-123.35	163.31	228.45
1587909	-112.37	-129.67	149.70	229.09
1588188	-107.81	-140.74	133.82	232.55
1588462	-107.81	-115.44	138.36	226.96
1588737	-103.26	-129.67	145.17	231.47
1589013	-107.81	-124.93	133.82	229.21
1589287	-107.81	-128.09	151.97	229.91
1589564	-119.96	-124.93	138.36	226.16
1589839	-113.89	-124.93	138.36	227.65
1590119	-116.93	-128.09	124.75	227.61
1590393	-116.93	-124.93	129.29	226.90
1590670	-110.85	-124.93	133.82	228.42
1590945	-109.33	-136.00	122.48	231.20
1591221	-103.26	-136.00	140.63	232.79
1591497	-112.37	-129.67	154.24	229.09
1591776	-103.26	-123.35	122.48	230.07
1592050	-103.26	-126.51	140.63	230.78
1592327	-106.30	-136.00	140.63	231.99
1592603	-98.70	-128.09	142.90	232.38
1592878	-110.85	-121.77	138.36	227.69
1593153	-106.30	-126.51	127.02	229.96
1593431	-106.30	-129.67	131.56	230.66
1593707	-98.70	-140.74	138.36	234.96
1593981	-107.81	-131.26	124.75	230.60
1594257	-106.30	-145.49	149.70	233.85
1594533	-92.63	-131.26	151.97	234.79
1594810	-103.26	-126.51	131.56	230.78
1595085	-124.52	-129.67	145.17	226.16
1595364	-104.78	-134.42	129.29	232.06
1595638	-97.19	-142.33	136.09	235.67
1595913	-98.70	-128.09	133.82	232.38
1596189	-95.67	-147.07	147.43	236.96
1596464	-98.70	-143.91	142.90	235.55
1596740	-98.70	-143.91	133.82	235.55
1597018	-110.85	-131.26	147.43	229.82
1597293	-106.30	-123.35	149.70	229.25
1597569	-110.85	-124.93	138.36	228.42
1597843	-112.37	-126.51	149.70	228.39
1598119	-98.70	-128.09	138.36	232.38
1598394	-106.30	-136.00	154.24	231.99
1598670	-107.81	-137.58	124.75	231.92
1598948	-101.74	-128.09	142.90	231.54
1599223	-115.41	-126.51	140.63	227.63
1599499	-106.30	-126.51	136.09	229.96
1599774	-92.63	-118.61	151.97	232.01
1600051	-94.15	-132.84	145.17	234.67
1600325	-94.15	-145.49	145.17	237.09
1600604	-107.81	-121.77	151.97	228.48
1600880	-107.81	-131.26	138.36	230.60
1601157	-100.22	-123.35	140.63	230.91
1601431	-106.30	-132.84	127.02	231.33
1601708	-97.19	-126.51	140.63	232.47
1601982	-97.19	-148.65	127.02	236.82
1602258	-103.26	-151.81	140.63	235.78
1602536	-113.89	-128.09	138.36	228.36
1602812	-109.33	-129.67	127.02	229.86
1603094	-107.81	-140.74	142.90	232.55
1603368	-97.19	-132.84	145.17	233.81
1603643	-123.00	-131.26	142.90	226.86
1603918	-103.26	-126.51	127.02	230.78
1604195	-113.89	-124.93	156.51	227.65
1604471	-103.26	-139.16	127.02	233.42
1604746	-107.81	-128.09	138.36	229.91
1605022	-100.22	-126.51	158.77	231.61
1605298	-110.85	-115.44	151.97	226.16
1605572	-103.26	-120.19	131.56	229.33
1605851	-109.33	-145.49	154.24	233.08
1606125	-101.74	-147.07	133.82	235.33
1606402	-92.63	-131.26	120.22	234.79
1606676	-112.37	-136.00	136.09	230.43
1606951	-95.67	-128.09	124.75	233.25
1607228	-124.52	-132.84	145.17	226.85
1607502	-100.22	-129.67	140.63	232.30
1607781	-115.41	-136.00	127.02	229.68
1608056	-104.78	-147.07	129.29	234.53
1608333	-103.26	-139.16	127.02	233.42
1608607	-112.37	-136.00	145.17	230.43
1608883	-103.26	-132.84	149.70	232.14
1609157	-107.81	-128.09	142.90	229.91
1609436	-112.37	-132.84	145.17	229.77
1609710	-101.74	-131.26	156.51	232.22
1609987	-103.26	-142.33	158.77	234.04
1610262	-107.81	-124.93	138.36	229.21
1610536	-107.81	-131.26	156.51	230.60
1610812	-106.30	-117.02	149.70	227.75
1611088	-113.89	-121.77	142.90	226.92
1611367	-100.22	-132.84	154.24	232.97
1611641	-109.33	-129.67	154.24	229.86
1611917	-109.33	-129.67	145.17	229.86
1612193	-107.81	-124.93	129.29	229.21
1612469	-110.85	-124.93	147.43	228.42
1612744	-106.30	-129.67	145.17	230.66
1613023	-104.78	-137.58	133.82	232.71
1613298	-116.93	-121.77	133.82	226.16
1613575	-106.30	-129.67	127.02	230.66
1613851	-118.44	-126.51	127.02	226.89
1614126	-109.33	-126.51	149.70	229.17
1614401	-124.52	-145.49	145.17	229.44
1614679	-100.22	-129.67	131.56	232.30
1614955	-97.19	-129.67	154.24	233.15
1615229	-100.22	-126.51	136.09	231.61
1615505	-100.22	-142.33	127.02	234.85
1615780	-109.33	-129.67	140.63	229.86
1616055	-98.70	-134.42	147.43	233.71
1616331	-106.30	-120.19	149.70	228.51
1616609	-112.37	-132.84	131.56	229.77
1616884	-106.30	-142.33	145.17	233.25
1617159	-119.96	-131.26	133.82	227.57
1617433	-112.37	-126.51	145.17	228.39
1617709	-97.19	-126.51	122.48	232.47
1617983	-104.78	-134.42	129.29	232.06
1618262	-101.74	-124.93	161.04	230.84
1618537	-110.85	-118.61	129.29	226.94
1618812	-106.30	-123.35	117.95	229.25
1619089	-95.67	-140.74	151.97	235.80
1619364	-118.44	-113.86	145.17	223.87
1619641	-103.26	-132.84	158.77	232.14
1619915	-94.15	-136.00	149.70	235.31
1620194	-116.93	-137.58	133.82	229.64
1620468	-97.19	-136.00	131.56	234.45
1620745	-101.74	-131.26	129.29	232.22
1621019	-103.26	-129.67	136.09	231.47
1621295	-112.37	-113.86	122.48	225.38
1621571	-118.44	-129.67	149.70	227.59
1621850	-110.85	-128.09	133.82	229.13
1622124	-101.74	-121.77	115.68	230.12
1622398	-115.41	-123.35	136.09	226.91
1622675	-112.37	-129.67	140.63	229.09
1622950	-100.22	-120.19	131.56	230.18
1623226	-103.26	-120.19	136.09	229.33
1623496	-112.37	-136.00	145.17	230.43
1623774	-110.85	-131.26	142.90	229.82
1624049	-104.78	-134.42	120.22	232.06
1624326	-121.48	-113.86	131.56	223.15
1624600	-110.85	-128.09	156.51	229.13
1624877	-94.15	-123.35	154.24	232.65
1625151	-101.74	-131.26	138.36	232.22
1625430	-103.26	-132.84	158.77	232.14
1625704	-113.89	-134.42	111.14	229.73
1625980	-101.74	-128.09	124.75	231.54
1626256	-95.67	-140.74	147.43	235.80
1626532	-107.81	-121.77	129.29	228.48
1626808	-110.85	-118.61	133.82	226.94
1627086	-100.22	-126.51	136.09	231.61
1627362	-110.85	-124.93	151.97	228.42
1627636	-118.44	-129.67	154.24	227.59
1627913	-103.26	-132.84	149.70	232.14
1628187	-101.74	-124.93	156.51	230.84
1628463	-110.85	-115.44	142.90	226.16
1628739	-112.37	-136.00	149.70	230.43
1629018	-106.30	-129.67	122.48	230.66
1629292	-115.41	-126.51	122.48	227.63
1629569	-106.30	-129.67	154.24	230.66
1629845	-112.37	-120.19	149.70	226.93
1630120	-107.81	-128.09	138.36	229.91
1630397	-109.33	-120.19	136.09	227.71
1630675	-104.78	-128.09	133.82	230.72
1630950	-91.11	-126.51	154.24	234.24
1631226	-104.78	-118.61	142.90	228.54
1631503	-101.74	-112.28	129.29	227.82
1631777	-100.22	-132.84	154.24	232.97
1632054	-104.78	-128.09	124.75	230.72
1632328	-95.67	-128.09	161.04	233.25
1632608	-110.85	-131.26	133.82	229.82
1632882	-110.85	-124.93	133.82	228.42
1633159	-101.74	-131.26	147.43	232.22
1633433	-116.93	-118.61	142.90	225.41
1633710	-109.33	-142.33	136.09	232.47
1633986	-97.19	-136.00	136.09	234.45
1634265	-106.30	-123.35	127.02	229.25
1634539	-101.74	-124.93	147.43	230.84
1634816	-103.26	-139.16	145.17	233.42
1635092	-112.37	-126.51	127.02	228.39
1635366	-95.67	-124.93	161.04	232.56
1635642	-86.56	-121.77	120.22	234.59
1635919	-104.78	-115.44	133.82	227.77
1636196	-110.85	-121.77	142.90	227.69
1636470	-104.78	-128.09	147.43	230.72
1636746	-92.63	-118.61	161.04	232.01
1637022	-97.19	-110.70	158.77	228.72
1637299	-86.56	-121.77	129.29	234.59
1637574	-135.15	-61.68	106.61	204.53
1637866	-91.11	9.49	108.87	174.06
1638139	-44.04	61.67	93.00	125.53
1638414	4.55	77.49	115.68	86.64
1638688	47.07	96.46	97.53	63.99
1638962	80.48	96.46	115.68	50.16
1639235	156.40	74.32	129.29	25.42
1639510	186.77	55.35	120.22	16.51
1639786	197.40	53.77	127.02	15.24
1640061	209.55	47.44	108.87	12.76
1640338	215.62	37.95	117.95	9.98
1640612	209.55	60.09	122.48	16.00
1640887	200.44	56.93	140.63	15.86
1641161	167.03	60.09	145.17	19.79
1641438	147.29	90.14	111.14	31.47
1641712	133.62	85.39	140.63	32.58
1641987	97.18	91.72	108.87	43.34
1642261	98.70	83.81	111.14	40.34
1642536	98.70	90.14	111.14	42.40
1642811	69.85	101.21	108.87	55.39
1643085	63.77	91.72	99.80	55.19
1643362	36.44	107.53	122.48	71.28
1643635	25.81	102.79	120.22	75.90
1643909	9.11	82.23	108.87	83.68
1644184	-22.78	80.65	102.07	105.77
1644460	-47.08	42.70	129.29	137.79
1644733	-51.63	12.65	122.48	166.23
1645008	-71.37	-14.23	138.36	191.28
1645285	-98.70	-58.51	129.29	210.66
1645558	-101.74	-96.47	151.97	223.48
1645833	-92.63	-134.42	151.97	235.43
1646104	-85.04	-170.79	140.63	243.53
1646375	-56.19	-204.00	179.19	254.60
1646648	-36.45	-208.74	190.53	260.10
1646921	-51.63	-205.58	167.85	255.90
1647195	-50.11	-191.35	156.51	255.32
1647470	-82.00	-167.63	149.70	243.93
1647746	-110.85	-64.84	115.68	210.32
1648020	-85.04	-6.33	145.17	184.25
1648294	-65.30	11.07	124.75	170.38
1648570	-59.22	26.88	102.07	155.59
1648845	-28.85	55.35	120.22	117.53
1649121	7.59	77.49	106.61	84.41
1649395	65.29	102.79	111.14	57.58
1649669	119.96	96.46	106.61	38.80
1649944	170.07	69.58	99.80	22.25
1650220	220.18	26.88	120.22	6.96
1650495	241.44	-14.23	156.51	356.63
1650774	244.47	-58.51	156.51	346.54
1651049	247.51	-128.09	165.58	332.64
1651325	247.51	-137.58	161.04	330.93
1651602	227.77	-161.30	185.99	324.69
1651878	214.10	-191.35	183.72	318.21
1652155	214.10	-213.49	161.04	315.08
1652433	189.81	-229.30	188.26	309.62
1652710	191.33	-243.53	181.46	308.15
1652985	177.66	-232.47	183.72	307.39
1653262	173.10	-227.72	204.14	307.24
1653537	173.10	-221.40	190.53	308.02
1653812	188.29	-230.88	190.53	309.20
1654088	186.77	-226.14	179.19	309.55
1654366	209.55	-215.07	190.53	314.26
1654641	214.10	-204.00	170.12	316.38
1654916	208.03	-197.67	165.58	316.46
1655191	227.77	-189.77	176.92	320.20
1655467	218.66	-183.44	190.53	320.01
1655741	229.29	-185.02	197.33	321.10
1656018	220.18	-175.54	170.12	321.44
1656293	230.81	-158.14	181.46	325.58
1656569	236.88	-167.63	163.31	324.71
1656845	238.40	-166.05	174.65	325.14
1657121	239.92	-164.47	176.92	325.57
1657398	229.29	-153.40	174.65	326.22
1657674	238.40	-140.74	183.72	329.44
1657952	235.36	-121.77	179.19	332.64
1658227	229.29	-153.40	170.12	326.22
1658498	242.95	-148.65	172.38	328.54
1658775	236.88	-170.79	167.85	324.21
1659052	238.40	-172.37	174.65	324.13
1659327	239.92	-180.28	167.85	323.08
1659606	249.03	-180.28	176.92	324.10
1659880	242.95	-170.79	167.85	324.89
1660154	239.92	-173.95	149.70	324.06
1660430	242.95	-170.79	181.46	324.89
1660704	241.44	-169.21	188.26	324.98
1660979	233.84	-167.63	176.92	324.37
1661254	242.95	-180.28	185.99	323.42
1661532	241.44	-156.56	165.58	327.04
1661807	230.81	-177.12	163.31	322.50
1662082	245.99	-189.77	172.38	322.35
1662355	229.29	-172.37	179.19	323.07
1662630	227.77	-177.12	154.24	322.13
1662905	236.88	-170.79	163.31	324.21
1663183	245.99	-167.63	163.31	325.73
1663467	236.88	-158.14	172.38	326.27
1663741	245.99	-164.47	158.77	326.23
1664017	247.51	-166.05	179.19	326.14
1664292	236.88	-177.12	185.99	323.21
1664566	249.03	-183.44	163.31	323.62
1664841	235.36	-175.54	174.65	323.28
1665118	253.58	-162.88	161.04	327.29
1665393	235.36	-169.21	156.51	324.29
1665669	235.36	-188.19	179.19	321.36
1665943	235.36	-175.54	174.65	323.28
1666217	242.95	-183.44	172.38	322.95
1666490	247.51	-175.54	170.12	324.66
1666764	227.77	-170.79	172.38	323.14
1667038	223.21	-153.40	188.26	325.50
1667313	244.47	-86.98	174.65	340.42
1667589	253.58	-7.91	151.97	358.21
1667865	250.55	26.88	120.22	6.12
1668140	206.51	66.42	136.09	17.83
1668412	176.14	85.39	122.48	25.86
1668686	139.70	53.77	149.70	21.05
1668961	83.51	86.98	129.29	46.16
1669234	83.51	74.32	133.82	41.67
1669508	59.22	102.79	106.61	60.05
1669781	60.74	110.70	99.80	61.25
1670054	28.85	124.93	74.85	77.00
1670331	10.63	86.98	120.22	83.03
1670604	-1.52	74.32	124.75	91.17
1670877	-1.52	49.02	115.68	91.78
1671152	16.70	58.51	124.75	74.07
1671428	33.40	101.21	113.41	71.73
1671702	50.11	96.46	115.68	62.55
1671977	69.85	104.37	104.34	56.21
1672254	89.59	99.63	111.14	48.04
1672527	89.59	115.44	88.46	52.19
1672803	110.85	109.11	106.61	44.55
1673072	160.96	79.07	127.02	26.16
1673349	188.29	37.95	136.09	11.40
1673623	214.10	17.39	142.90	4.64
1673899	230.81	6.32	154.24	1.57
1674175	241.44	-7.91	142.90	358.12
1674450	244.47	-23.72	151.97	354.46
1674727	250.55	-45.86	161.04	349.63
1675003	262.70	-80.65	142.90	342.93
1675279	252.07	-110.70	163.31	336.29
1675555	244.47	-128.09	170.12	332.35
1675826	227.77	-158.14	163.31	325.23
1676104	229.29	-169.21	174.65	323.57
1676380	235.36	-194.51	165.58	320.43
1676656	198.92	-191.35	201.87	316.11
1676933	209.55	-211.91	167.85	314.68
1677209	206.51	-234.05	181.46	311.42
1677486	171.59	-241.95	174.65	305.34
1677763	151.85	-249.86	181.46	301.29
1678039	151.85	-246.70	199.60	301.61
1678315	139.70	-246.70	213.21	299.52
1678592	144.25	-260.93	201.87	298.94
1678868	138.18	-245.12	188.26	299.41
1679144	138.18	-254.60	201.87	298.49
1679420	139.70	-256.19	217.75	298.60
1679699	138.18	-264.09	192.80	297.62
1679974	133.62	-243.53	208.67	298.75
1680250	121.48	-249.86	190.53	295.93
1680527	145.77	-249.86	176.92	300.26
1680801	180.70	-238.79	179.19	307.12
1681077	214.10	-207.16	170.12	315.94
1681355	250.55	-156.56	188.26	328.00
1681632	241.44	-137.58	174.65	330.32
1681906	259.66	-93.30	156.51	340.24
1682182	258.14	-63.26	167.85	346.23
1682456	270.29	-15.82	140.63	356.65
1682732	252.07	9.49	127.02	2.16
1683007	233.84	25.30	113.41	6.18
